+	猪	代谢	基因表达	支链氨基酸	蛋白质	代谢工程	酱油	序列分析	营养成分	基因克隆	有机酸	游离氨基酸	生物信息学分析	生物信息学	克隆	合成	进化	氨基酸	代谢组学	脂肪酸
猪	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
代谢	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
基因表达	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
支链氨基酸	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
蛋白质	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
代谢工程	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
酱油	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
序列分析	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
营养成分	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
基因克隆	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
有机酸	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
游离氨基酸	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
生物信息学分析	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
生物信息学	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
克隆	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
合成	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
进化	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
氨基酸	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
代谢组学	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
脂肪酸	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
