abstract,author,cited,date,downed,download,fund,highlight,info,kws,source,title
微波预处理油菜籽能使菜籽油形成浓郁的焙烤风味。利用顶空固相微萃取-气质联用技术结合香气稀释因子分析对微波压榨菜籽油中具有焙烤风味的关键成分进行鉴定，同时考察油菜籽微波过程中游离糖、游离氨基酸、体系温度和油菜籽水分的变化。结果表明:微波压榨菜籽油中共鉴定出13种具有焙烤风味的挥发性成分，包括9种吡嗪类物质，以及醇类、醛类、呋喃和噻唑类物质各1种，其中FD因子大于等于32的包括2，5-二甲基吡嗪、2，6-二甲基吡嗪、5-甲基呋喃醛、2-乙基-6-甲基吡嗪、2-乙基-5-甲基吡嗪和3-乙基-2，5-二甲基吡嗪，这6种物质对菜籽油中焙烤风味的贡献最大;油菜籽微波0～8 min过程中，除蔗糖外，其他游离糖(果糖、葡萄糖)和游离氨基酸呈现逐渐降低的趋势，根据含量变化及相关性分析，初步推测参与菜籽油焙烤风味形成的可能前体物质是葡萄糖、果糖、天门冬氨酸、亮氨酸和赖氨酸。,周琦 张敏 贾潇 黄凤洪,3,2018年12期,141.0,http://www.cnki.com.cn/Article/CJFDTOTAL-ZYZZ201812010.htm,北京工商大学北京食品营养与人类健康高精尖创新中心北京市食品添加剂工程技术研究中心,"['微波预处理油菜籽能使菜籽油形成浓郁的焙烤风味。利用顶空固相微萃取-气质联用技术结合香气稀释因子分析对微波压榨菜籽油中具有焙烤风味的关键成分进行鉴定，同时考察油菜籽微波过程中游离糖、游离氨基酸、体系温度和油菜籽水分的变化。结果表明:微波压榨菜籽油中共鉴定出13种具有焙烤风味的挥发性成分，包括9种吡嗪类物质，以及醇类、醛类、呋喃和噻唑类物质各1种，其中FD因子大于等于32的包括2，5-二甲基吡嗪、2，6-二甲基吡嗪、5-甲基呋喃醛、2-乙基-6-甲基吡嗪、2-乙基-5-甲基吡嗪和3-乙基-2，5-二甲基吡嗪，这6种物质对菜籽油中焙烤风味的贡献最大;油菜籽微波0～8 min过程中，除蔗糖外，其他游离糖(果糖、葡萄糖)和游离氨基酸呈现逐渐降低的趋势，根据含量变化及相关性分析，初步推测参与菜籽油焙烤风味形成的可能前体物质是葡萄糖、果糖、天门冬氨酸、亮氨酸和赖氨酸。', '微波;油菜籽;焙烤风味;游离糖', '油菜籽微波过程对油中焙烤风味形成的影响', '中国农业科学院油料作物研究所油料油脂加工技术国家地方联合工程实验室农业部油料加工重点实验室油料脂质化学与营养湖北省重点实验室', '北京工商大学北京食品营养与人类健康高精尖创新中心北京市食品添加剂工程技术研究中心', '知网期刊']",中国农业科学院油料作物研究所油料油脂加工技术国家地方联合工程实验室农业部油料加工重点实验室油料脂质化学与营养湖北省重点实验室,微波;油菜籽;焙烤风味;游离糖,知网期刊,油菜籽微波过程对油中焙烤风味形成的影响
系统研究1-(N，N-二乙基氨甲酰基甲基)-3-甲基咪唑氯盐([MDCBmim]Cl)，1-(N，N-二乙基氨甲酰基甲基)-3-甲基咪唑氟硼酸盐([MDCBmim]BF4)、1-丁基-3-甲基咪唑氟硼酸盐([Bmim]BF4)3种离子液体的双水相体系对苯丙氨酸的萃取性能.考察了影响萃取过程的主要因素如pH、离子液体和磷酸盐的用量、体系温度.研究结果表明，功能化离子液体双水相体系对苯丙氨酸的萃取性能远好于常规离子液体.当pH=13时，在[MDCBmim]Cl/K2HPO4双水相体系中，苯丙氨酸的分配系数最高可达130，对其分配系数顺序为:[MDCBmim]Cl[MDCBmim]BF4[Bmim]BF4.,王剑 李长平 尹静梅 王爱玲,3,2012年03期,129.0,http://www.cnki.com.cn/Article/CJFDTOTAL-HNSX201203021.htm,国家自然科学基金(21006007;21176033),"['系统研究1-(N，N-二乙基氨甲酰基甲基)-3-甲基咪唑氯盐([MDCBmim]Cl)，1-(N，N-二乙基氨甲酰基甲基)-3-甲基咪唑氟硼酸盐([MDCBmim]BF4)、1-丁基-3-甲基咪唑氟硼酸盐([Bmim]BF4)3种离子液体的双水相体系对苯丙氨酸的萃取性能.考察了影响萃取过程的主要因素如pH、离子液体和磷酸盐的用量、体系温度.研究结果表明，功能化离子液体双水相体系对苯丙氨酸的萃取性能远好于常规离子液体.当pH=13时，在[MDCBmim]Cl/K2HPO4双水相体系中，苯丙氨酸的分配系数最高可达130，对其分配系数顺序为:[MDCBmim]Cl[MDCBmim]BF4[Bmim]BF4.', '功能化离子液体;双水相;萃取;苯丙氨酸', '基于功能化离子液体的苯丙氨酸双水相萃取性能研究', '大连大学环境和化学工程学院;大连大学生物有机省重点实验室;', '国家自然科学基金(21006007;21176033)', '知网期刊']",大连大学环境和化学工程学院;大连大学生物有机省重点实验室;,功能化离子液体;双水相;萃取;苯丙氨酸,知网期刊,基于功能化离子液体的苯丙氨酸双水相萃取性能研究
为研究链霉菌JD211对水稻的抗性诱导机制，采用链霉菌JD211发酵液处理叶片，测定叶片中主要防御性酶活性及丙二醛(MDA)含量的动态变化，叶片表现出明显的抗稻瘟病菌作用。结果表明，不同浓度链霉菌JD211发酵液均能使水稻叶片中的过氧化氢酶(CAT)、过氧化物酶(POD)、苯丙氨酸解氨酶(PAL)活性提高，MDA含量也逐渐升高，其中以20%链霉菌JD211发酵液浓度处理效果较好。,徐志荣 傅雁辉 赵英杰 王婷 魏赛金,5,2017年06期,174.0,http://www.cnki.com.cn/Article/CJFDTOTAL-ZJNB201706016.htm,国家自然科学基金项目(31460469),"['为研究链霉菌JD211对水稻的抗性诱导机制，采用链霉菌JD211发酵液处理叶片，测定叶片中主要防御性酶活性及丙二醛(MDA)含量的动态变化，叶片表现出明显的抗稻瘟病菌作用。结果表明，不同浓度链霉菌JD211发酵液均能使水稻叶片中的过氧化氢酶(CAT)、过氧化物酶(POD)、苯丙氨酸解氨酶(PAL)活性提高，MDA含量也逐渐升高，其中以20%链霉菌JD211发酵液浓度处理效果较好。', '链霉菌JD211;水稻;防御酶;诱导抗性', '链霉菌JD211发酵液对水稻防御稻瘟病菌诱导抗性的作用', '江西农业大学生物科学与工程学院/江西省农业微生物资源开发与利用工程实验室;', '国家自然科学基金项目(31460469)', '知网期刊']",江西农业大学生物科学与工程学院/江西省农业微生物资源开发与利用工程实验室;,链霉菌JD211;水稻;防御酶;诱导抗性,知网期刊,链霉菌JD211发酵液对水稻防御稻瘟病菌诱导抗性的作用
本实验通过PCR和测序拼接获得汉中地区8个黑稻品种黄烷酮3-羟化酶基因(F3H)编码区序列，在NCBI中用BLAST分析首次发现该基因位于水稻4号染色体。发现8种黑稻和普通籼稻F3H序列完全相同，与粳稻相比较，则存在4个突变位点，导致2个氨基酸突变。基于F3H序列信息的进化树表明黑稻与籼稻、粳稻、小麦、玉米的亲缘关系较近;遗传距离和同源性分析表明F3H基因较为保守，是一个古老的基因，可用于种属的鉴定分析。F3H蛋白理化性质分析发现，黑稻与其它禾本科植物存在一定差异，蛋白三维结构及相关位点预测发现粳稻和黑稻无明显差异，初步认为黑稻F3H序列变异可能与花青素的合成无关，需要在其表当量与花青苷和成合成与沉积的关系方面开展进一步研究。,张涛 尹亚军 路宏朝 王令,2,2016年10期,121.0,http://www.cnki.com.cn/Article/CJFDTOTAL-XNYX201610001.htm,陕西省科技厅农业攻关项目(2013K02-26-02),"['本实验通过PCR和测序拼接获得汉中地区8个黑稻品种黄烷酮3-羟化酶基因(F3H)编码区序列，在NCBI中用BLAST分析首次发现该基因位于水稻4号染色体。发现8种黑稻和普通籼稻F3H序列完全相同，与粳稻相比较，则存在4个突变位点，导致2个氨基酸突变。基于F3H序列信息的进化树表明黑稻与籼稻、粳稻、小麦、玉米的亲缘关系较近;遗传距离和同源性分析表明F3H基因较为保守，是一个古老的基因，可用于种属的鉴定分析。F3H蛋白理化性质分析发现，黑稻与其它禾本科植物存在一定差异，蛋白三维结构及相关位点预测发现粳稻和黑稻无明显差异，初步认为黑稻F3H序列变异可能与花青素的合成无关，需要在其表当量与花青苷和成合成与沉积的关系方面开展进一步研究。', '黑稻;黄烷酮3-羟化酶;序列分析;遗传变异', '汉中黑稻黄烷酮3-羟化酶基因(F3H)的遗传变异分析', '陕西理工学院生物科学与工程学院;', '陕西省科技厅农业攻关项目(2013K02-26-02)', '知网期刊']",陕西理工学院生物科学与工程学院;,黑稻;黄烷酮3-羟化酶;序列分析;遗传变异,知网期刊,汉中黑稻黄烷酮3-羟化酶基因(F3H)的遗传变异分析
本文旨在比较不同品种肉牛的产肉性能、牛肉营养品质及风味物质的差异。试验选取6月龄健康西杂牛、犏牛和宣汉黄牛去势公牛各6头，平均体重分别为(616. 67±9. 50) kg、(457.01±15.73) kg、(462.67±12.57) kg。所有试验牛均在相同饲养条件下人工育肥至30月龄。结果表明:1)西杂牛的胴体长、胴体深、胴体胸深、后腿长、后退宽和后腿围均显著高于犏牛和宣汉黄牛(P0.05)，西杂牛的腰部肉厚、肋部肉厚和大腿肉厚显著高于犏牛(P0.05)。2)西杂牛的金钱展、前腱子、上脑、外脊、里脊、大黄瓜条、小黄瓜条、霖肉和臀肉的产量都显著高于犏牛和宣汉黄牛(P0.05)。犏牛的辣椒条和眼肉产量占胴体重比显著高于西杂牛(P0.05)，宣汉黄牛的上脑、眼肉和外脊产量占胴体重比显著高于西杂牛(P0.05)。3)西杂牛背最长肌中钙、磷、钠、钾和镁含量均显著高于犏牛和宣汉黄牛(P0.05)。4)犏牛背最长肌中的总氨基酸、必需氨基酸含量以及必需氨基酸/总氨基酸、必需氨基酸/非必需氨基酸均显著高于西杂牛和宣汉黄牛(P0.05)，犏牛背最长肌中的鲜味氨基酸和甜味氨基酸含量显著高于西杂牛(P0.05)，犏牛的背最长肌氨基酸评分也要优于西杂牛和宣汉黄牛。5)犏牛背最长肌中的谷氨酸钠含量显著高于西杂牛(P0.05)，犏牛背最长肌中硫胺素和肌苷含量均显著高于宣汉黄牛和西杂牛(P0.05)。综上所述，西杂牛的产肉性能和肉中矿物质含量要高于犏牛和宣汉黄牛，犏牛肉的氨基酸组成和评分以及风物物质含量要优于西杂牛和宣汉黄牛。,王泳杰 王之盛 胡瑞 彭全辉 薛白 王立志 邹华围 孙宝忠 李海鹏 蒋兴德 申洪兵 欧鑫,2,2019年08期,214.0,http://www.cnki.com.cn/Article/CJFDTOTAL-DWYX201908023.htm,中国农业科学院北京畜牧兽医研究所,"['本文旨在比较不同品种肉牛的产肉性能、牛肉营养品质及风味物质的差异。试验选取6月龄健康西杂牛、犏牛和宣汉黄牛去势公牛各6头，平均体重分别为(616. 67±9. 50) kg、(457.01±15.73) kg、(462.67±12.57) kg。所有试验牛均在相同饲养条件下人工育肥至30月龄。结果表明:1)西杂牛的胴体长、胴体深、胴体胸深、后腿长、后退宽和后腿围均显著高于犏牛和宣汉黄牛(P0.05)，西杂牛的腰部肉厚、肋部肉厚和大腿肉厚显著高于犏牛(P0.05)。2)西杂牛的金钱展、前腱子、上脑、外脊、里脊、大黄瓜条、小黄瓜条、霖肉和臀肉的产量都显著高于犏牛和宣汉黄牛(P0.05)。犏牛的辣椒条和眼肉产量占胴体重比显著高于西杂牛(P0.05)，宣汉黄牛的上脑、眼肉和外脊产量占胴体重比显著高于西杂牛(P0.05)。3)西杂牛背最长肌中钙、磷、钠、钾和镁含量均显著高于犏牛和宣汉黄牛(P0.05)。4)犏牛背最长肌中的总氨基酸、必需氨基酸含量以及必需氨基酸/总氨基酸、必需氨基酸/非必需氨基酸均显著高于西杂牛和宣汉黄牛(P0.05)，犏牛背最长肌中的鲜味氨基酸和甜味氨基酸含量显著高于西杂牛(P0.05)，犏牛的背最长肌氨基酸评分也要优于西杂牛和宣汉黄牛。5)犏牛背最长肌中的谷氨酸钠含量显著高于西杂牛(P0.05)，犏牛背最长肌中硫胺素和肌苷含量均显著高于宣汉黄牛和西杂牛(P0.05)。综上所述，西杂牛的产肉性能和肉中矿物质含量要高于犏牛和宣汉黄牛，犏牛肉的氨基酸组成和评分以及风物物质含量要优于西杂牛和宣汉黄牛。', '西杂牛;犏牛;宣汉黄牛;产肉性能', '不同品种肉牛产肉性能、牛肉营养品质及风味物质的比较', '四川农业大学动物营养研究所牛低碳养殖与安全生产四川省高校重点实验室', '中国农业科学院北京畜牧兽医研究所', '知网期刊']",四川农业大学动物营养研究所牛低碳养殖与安全生产四川省高校重点实验室,西杂牛;犏牛;宣汉黄牛;产肉性能,知网期刊,不同品种肉牛产肉性能、牛肉营养品质及风味物质的比较
抑郁症是一种普遍的精神障碍，能够引起精神及身体的伤害。抑郁症的主要特点是情绪低落，快乐感缺失，这种状态同时可能伴有疲劳，注意力不集中，睡眠障碍及认知、语言功能障碍等。由于其具有高发病率，高复发性及高自杀率的特点，抑郁症已经成为全世界共同关注的公共健康问题之一。目前，临床研究不能完全阐明抑郁症的发病机制，对抑郁症进行临床研究也具有一定的局限性。有些研究内容需要利用动物模型来完成，因此动物模型在研究抑郁症的发病机制及药物抗抑郁活性中是必不可少的。本研究应用基于高效液相色谱串联四级杆-飞行时间质谱(UHPLC-Q-TOF-MS)的代谢组学方法研究知母、百合总皂苷对慢性温和不可预知刺激的大鼠模型及小鼠大脑缺血再灌注模型的抗抑郁作用，寻求与该模型导致抑郁的相关潜在生物标志物，并对知母百合配伍给药及知母或百合皂苷单用的治疗效果进行评价，进一步探索知母百合皂苷可能的作用机制。1.采用慢性温和不可预知刺激的大鼠模型，并应用知母、百合总皂苷对大鼠模型进行干预，基于UHPLC-Q-TOF-MS的代谢组学方法我们分别从大鼠的血清及海马组织中鉴别得到31，32个与慢性温和不可预知刺激诱导的抑郁相关的差异代谢物质，这些代谢物涉及的代谢通路主要包括谷氨酰胺-谷氨酸代谢，三羧酸循环(TCA cycle)，苯丙氨酸、酪氨酸、色氨酸代谢，甘油磷脂代谢，花生四烯酸代谢，缬氨酸、亮氨酸、异亮氨酸生物合成等。同时我们基于鉴别得到的差异代谢物质对知母百合皂苷的作用效果进行评价，结合大鼠在行为学实验中的表现及大鼠生化指标的含量测定结果，显示知母百合总皂苷配伍具有较好治疗大鼠抑郁的作用。2.采用大脑缺血再灌注小鼠模型，并应用知母、百合总皂苷对小鼠模型进行干预。基于UHPLC-Q-TOF-MS的代谢组学轮廓分析方法，我们从小鼠的血清中鉴别得到16个与大脑缺血再灌注诱导的抑郁相关的差异代谢物质，从海马组织中鉴别得到43个差异代谢物质。这些代谢物涉及的代谢通路主要包括苯丙氨酸、酪氨酸、色氨酸代谢，缬氨酸、亮氨酸代谢，丙氨酸、脯氨酸代谢，牛磺酸代谢，氧化应激反应等。同时我们基于鉴别得到的差异代谢物质及结合小鼠在行为学实验中的表现对知母百合皂苷的作用效果进行评价，知母百合总皂苷配伍对小鼠大脑缺血再灌注模型具有较好治疗效果。本研究应用代谢组学方法研究知母、百合总皂苷对慢性温和不可预知的大鼠模型及小鼠脑缺血再灌注诱导的抑郁模型的作用，结果表明知母百合皂苷对两种抑郁模型均具有一定的治疗效果，为进一步阐明药物的作用靶点提供一定的基础。,杜红丽,9,2016-05-01,428.0,http://cdmd.cnki.com.cn/Article/CDMD-90030-1016165193.htm,nan,"['抑郁症是一种普遍的精神障碍，能够引起精神及身体的伤害。抑郁症的主要特点是情绪低落，快乐感缺失，这种状态同时可能伴有疲劳，注意力不集中，睡眠障碍及认知、语言功能障碍等。由于其具有高发病率，高复发性及高自杀率的特点，抑郁症已经成为全世界共同关注的公共健康问题之一。目前，临床研究不能完全阐明抑郁症的发病机制，对抑郁症进行临床研究也具有一定的局限性。有些研究内容需要利用动物模型来完成，因此动物模型在研究抑郁症的发病机制及药物抗抑郁活性中是必不可少的。本研究应用基于高效液相色谱串联四级杆-飞行时间质谱(UHPLC-Q-TOF-MS)的代谢组学方法研究知母、百合总皂苷对慢性温和不可预知刺激的大鼠模型及小鼠大脑缺血再灌注模型的抗抑郁作用，寻求与该模型导致抑郁的相关潜在生物标志物，并对知母百合配伍给药及知母或百合皂苷单用的治疗效果进行评价，进一步探索知母百合皂苷可能的作用机制。1.采用慢性温和不可预知刺激的大鼠模型，并应用知母、百合总皂苷对大鼠模型进行干预，基于UHPLC-Q-TOF-MS的代谢组学方法我们分别从大鼠的血清及海马组织中鉴别得到31，32个与慢性温和不可预知刺激诱导的抑郁相关的差异代谢物质，这些代谢物涉及的代谢通路主要包括谷氨酰胺-谷氨酸代谢，三羧酸循环(TCA cycle)，苯丙氨酸、酪氨酸、色氨酸代谢，甘油磷脂代谢，花生四烯酸代谢，缬氨酸、亮氨酸、异亮氨酸生物合成等。同时我们基于鉴别得到的差异代谢物质对知母百合皂苷的作用效果进行评价，结合大鼠在行为学实验中的表现及大鼠生化指标的含量测定结果，显示知母百合总皂苷配伍具有较好治疗大鼠抑郁的作用。2.采用大脑缺血再灌注小鼠模型，并应用知母、百合总皂苷对小鼠模型进行干预。基于UHPLC-Q-TOF-MS的代谢组学轮廓分析方法，我们从小鼠的血清中鉴别得到16个与大脑缺血再灌注诱导的抑郁相关的差异代谢物质，从海马组织中鉴别得到43个差异代谢物质。这些代谢物涉及的代谢通路主要包括苯丙氨酸、酪氨酸、色氨酸代谢，缬氨酸、亮氨酸代谢，丙氨酸、脯氨酸代谢，牛磺酸代谢，氧化应激反应等。同时我们基于鉴别得到的差异代谢物质及结合小鼠在行为学实验中的表现对知母百合皂苷的作用效果进行评价，知母百合总皂苷配伍对小鼠大脑缺血再灌注模型具有较好治疗效果。本研究应用代谢组学方法研究知母、百合总皂苷对慢性温和不可预知的大鼠模型及小鼠脑缺血再灌注诱导的抑郁模型的作用，结果表明知母百合皂苷对两种抑郁模型均具有一定的治疗效果，为进一步阐明药物的作用靶点提供一定的基础。', '知母百合皂苷;抑郁;代谢组学;UHPLC-Q-TOF-MS', '知母百合协同抗抑郁的代谢组学研究', '第二军医大学', 'nan', '知网硕士论文']",第二军医大学,知母百合皂苷;抑郁;代谢组学;UHPLC-Q-TOF-MS,知网硕士论文,知母百合协同抗抑郁的代谢组学研究
[目的]提取鸡胸软骨中的胶原，并对其进行检测。[方法]以鸡胸软骨为原料，采用酶法提取其中的胶原，并进行紫外光谱检测、傅里叶变换红外光谱检测、SDS-PAGE、氨基酸分析、圆二色谱检测及肽指纹图谱检测。[结果]胶原的提取率是0.11%(以湿重计)，紫外最大吸收波长为217 nm;SDS-PAGE显示，胶原含有一条较粗的α带和一条较细的β带;氨基酸分析显示，羟脯氨酸为99残基/1 000氨基酸残基。[结论]该方法提取得到的胶原是典型的Ⅱ型胶原，且很好地保持了其天然结构，具有较高的纯度。,张艳艳 刘海英,1,2018年15期,74.0,http://www.cnki.com.cn/Article/CJFDTOTAL-AHNY201815054.htm,江南大学食品学院,"['[目的]提取鸡胸软骨中的胶原，并对其进行检测。[方法]以鸡胸软骨为原料，采用酶法提取其中的胶原，并进行紫外光谱检测、傅里叶变换红外光谱检测、SDS-PAGE、氨基酸分析、圆二色谱检测及肽指纹图谱检测。[结果]胶原的提取率是0.11%(以湿重计)，紫外最大吸收波长为217 nm;SDS-PAGE显示，胶原含有一条较粗的α带和一条较细的β带;氨基酸分析显示，羟脯氨酸为99残基/1 000氨基酸残基。[结论]该方法提取得到的胶原是典型的Ⅱ型胶原，且很好地保持了其天然结构，具有较高的纯度。', '胶原;鸡胸软骨;Ⅱ型胶原;提取', '鸡胸软骨胶原的提取及其结构表征', 'nan', '江南大学食品学院', '知网期刊']",nan,胶原;鸡胸软骨;Ⅱ型胶原;提取,知网期刊,鸡胸软骨胶原的提取及其结构表征
为了有效控制生长过旺烤烟成熟期的氮代谢、改善烤后烟叶品质，于2013—2014年烤烟成熟期喷施适宜浓度的酶抑制剂4-[羟基(甲基)膦酰基]-D/L-高丙氨酸(草胺膦)，测定了烟叶的硝酸还原酶(NR)、谷氨酰胺合成酶(GS)活性和化学成分含量(质量分数)，并对烤后烟叶进行了评吸鉴定。结果表明，成熟期喷施不同浓度酶抑制剂能有效降低烟叶NR和GS活性，且酶抑制剂浓度与NR、GS活性均呈显著负相关，其中10、15 mg/L浓度下叶片NR和GS活性降低较快，且叶片田间表现较好;适宜浓度酶抑制剂喷施于成熟期烟叶，烤后烟叶蛋白质、烟碱、总氮含量降低，还原糖、总糖含量(质量分数)提高，化学成分更加协调，色素含量(质量分数)降低，中性致香成分含量(质量分数)提高25.04%~42.76%，感官品质得分提高7.22%~10.43%。从成本和安全性方面综合考虑，10 mg/L更为适宜。因此，10 mg/L浓度酶抑制剂能够有效降低烤烟氮代谢关键酶(GS和NR)活性，抑制成熟期氮代谢，改善烟叶品质。,许东亚 孙军伟 杨惠娟 徐发华 焦哲恒 孙榅淑 史宏志,9,2016年03期,98.0,http://www.cnki.com.cn/Article/CJFDTOTAL-YCKJ201603003.htm,云南省烟草公司科技项目“提升红大烟叶品质的深化技术研究及应用”(2013YN28),"['为了有效控制生长过旺烤烟成熟期的氮代谢、改善烤后烟叶品质，于2013—2014年烤烟成熟期喷施适宜浓度的酶抑制剂4-[羟基(甲基)膦酰基]-D/L-高丙氨酸(草胺膦)，测定了烟叶的硝酸还原酶(NR)、谷氨酰胺合成酶(GS)活性和化学成分含量(质量分数)，并对烤后烟叶进行了评吸鉴定。结果表明，成熟期喷施不同浓度酶抑制剂能有效降低烟叶NR和GS活性，且酶抑制剂浓度与NR、GS活性均呈显著负相关，其中10、15 mg/L浓度下叶片NR和GS活性降低较快，且叶片田间表现较好;适宜浓度酶抑制剂喷施于成熟期烟叶，烤后烟叶蛋白质、烟碱、总氮含量降低，还原糖、总糖含量(质量分数)提高，化学成分更加协调，色素含量(质量分数)降低，中性致香成分含量(质量分数)提高25.04%~42.76%，感官品质得分提高7.22%~10.43%。从成本和安全性方面综合考虑，10 mg/L更为适宜。因此，10 mg/L浓度酶抑制剂能够有效降低烤烟氮代谢关键酶(GS和NR)活性，抑制成熟期氮代谢，改善烟叶品质。', '酶抑制剂;烤烟;成熟期;氮代谢', '酶抑制剂对烤烟成熟期氮代谢及烤后烟叶品质的影响', '河南农业大学国家烟草栽培生理生化研究基地烟草行业烟草栽培重点实验室;云南省烟草公司大理州公司;', '云南省烟草公司科技项目“提升红大烟叶品质的深化技术研究及应用”(2013YN28)', '知网期刊']",河南农业大学国家烟草栽培生理生化研究基地烟草行业烟草栽培重点实验室;云南省烟草公司大理州公司;,酶抑制剂;烤烟;成熟期;氮代谢,知网期刊,酶抑制剂对烤烟成熟期氮代谢及烤后烟叶品质的影响
目的探讨栀子Gardenia jasminoides Ellis水提物对大鼠的肝脏毒性作用及其特征。方法给药组大鼠分为灌胃给予栀子水提物低、中、高(3、10、30 g/kg)剂量组，同时设灌胃给予去离子水空白对照组。给药期间每天观察，分别于给药7、14、28 d后采血，测定大鼠血清丙氨酸转移酶(ALT)、天冬氨酸转移酶(AST)、碱性磷酸酶(ALP)、谷氨酸脱氢酶(GLDH)活性以及总胆汁酸(TBA)和总胆红素(TBIL)的含有量;摘取肝脏称重并计算肝脏指数;常规切片，HE染色，光镜下观察肝脏组织病理学改变。结果给药7 d后，栀子水提物高剂量组大鼠开始出现摄食量减少，体质量增长缓慢，血清ALT、AST、ALP、TBA、TBIL、GLDH较空白对照组显著升高，中、高剂量组大鼠肝脏指数较空白对照组显著增大;给药14 d后，高剂量组大鼠血清ALP、TBA和TBIL较空白对照组显著升高，中、高剂量组大鼠肝脏指数较空白对照组显著增大;给药28 d后，高剂量组大鼠ALT和TBA、中剂量组TBIL和GLDH以及低剂量组GLDH较空白对照组显著升高，所有给药组大鼠肝脏指数均显著升高。病理组织学检查发现，给药7、14、28 d后，中、高剂量组大鼠均出现肝细胞肥大，小叶间胆管增生及炎症细胞浸润等不同程度病变。结论大鼠重复灌胃给予栀子水提物引起肝脏的毒性随剂量增加而增加，在高剂量时不随着时间增加而增加。,王清然 周斌 张泽安 邓中平,7,2017年04期,351.0,http://www.cnki.com.cn/Article/CJFDTOTAL-ZCYA201704005.htm,国家科技重大专项(2012ZX09505001-002),"['目的探讨栀子Gardenia jasminoides Ellis水提物对大鼠的肝脏毒性作用及其特征。方法给药组大鼠分为灌胃给予栀子水提物低、中、高(3、10、30 g/kg)剂量组，同时设灌胃给予去离子水空白对照组。给药期间每天观察，分别于给药7、14、28 d后采血，测定大鼠血清丙氨酸转移酶(ALT)、天冬氨酸转移酶(AST)、碱性磷酸酶(ALP)、谷氨酸脱氢酶(GLDH)活性以及总胆汁酸(TBA)和总胆红素(TBIL)的含有量;摘取肝脏称重并计算肝脏指数;常规切片，HE染色，光镜下观察肝脏组织病理学改变。结果给药7 d后，栀子水提物高剂量组大鼠开始出现摄食量减少，体质量增长缓慢，血清ALT、AST、ALP、TBA、TBIL、GLDH较空白对照组显著升高，中、高剂量组大鼠肝脏指数较空白对照组显著增大;给药14 d后，高剂量组大鼠血清ALP、TBA和TBIL较空白对照组显著升高，中、高剂量组大鼠肝脏指数较空白对照组显著增大;给药28 d后，高剂量组大鼠ALT和TBA、中剂量组TBIL和GLDH以及低剂量组GLDH较空白对照组显著升高，所有给药组大鼠肝脏指数均显著升高。病理组织学检查发现，给药7、14、28 d后，中、高剂量组大鼠均出现肝细胞肥大，小叶间胆管增生及炎症细胞浸润等不同程度病变。结论大鼠重复灌胃给予栀子水提物引起肝脏的毒性随剂量增加而增加，在高剂量时不随着时间增加而增加。', '栀子;肝脏毒性;时效关系;量效关系', '栀子水提物致大鼠肝脏毒性的时效与量效关系', '上海中医药大学药物安全评价研究中心;上海美迪西生物医药股份有限公司;', '国家科技重大专项(2012ZX09505001-002)', '知网期刊']",上海中医药大学药物安全评价研究中心;上海美迪西生物医药股份有限公司;,栀子;肝脏毒性;时效关系;量效关系,知网期刊,栀子水提物致大鼠肝脏毒性的时效与量效关系
正为建立检验医学的量值溯源，实现检验结果互认，上海市临床检验中心于2004年启动了参考体系建设，于2011年获得国际临床化学与检验医学联合会HbA1c一级参考实验认证，成为发展中国家第一家IFCC参考实验室。光谱法项目如碱性磷酸酶、丙氨酸氨基转移酶、淀粉酶、天门冬氨酸氨基转移酶、肌酸激酶、γ-谷氨酰基转移酶、乳酸脱氢酶和质谱法项目如糖化血红蛋白和肌酐，已通过中国合格评定国家认可委员会ISO17025/ISO15195认可，并经国际同行评审，上述项目已进入检验医学溯源联合委员会参考实验,nan,0,2018年11期,28.0,http://www.cnki.com.cn/Article/CJFDTOTAL-SHYY201811022.htm,上海市临床检验中心,"['正为建立检验医学的量值溯源，实现检验结果互认，上海市临床检验中心于2004年启动了参考体系建设，于2011年获得国际临床化学与检验医学联合会HbA1c一级参考实验认证，成为发展中国家第一家IFCC参考实验室。光谱法项目如碱性磷酸酶、丙氨酸氨基转移酶、淀粉酶、天门冬氨酸氨基转移酶、肌酸激酶、γ-谷氨酰基转移酶、乳酸脱氢酶和质谱法项目如糖化血红蛋白和肌酐，已通过中国合格评定国家认可委员会ISO17025/ISO15195认可，并经国际同行评审，上述项目已进入检验医学溯源联合委员会参考实验', '临床检验中心;γ-谷氨酰基转移酶;天门冬氨酸氨基转移酶;上海市', '上海市临床检验中心多个项目可溯源至国际标准', 'nan', '上海市临床检验中心', '知网期刊']",nan,临床检验中心;γ-谷氨酰基转移酶;天门冬氨酸氨基转移酶;上海市,知网期刊,上海市临床检验中心多个项目可溯源至国际标准
